"","a","c","path_estimate_y_x1.Y ~ X1","path_estimate_y_x2.Y ~ X2","sd_bootstrap_y_x1","Z_test_boot_y_x1.Y ~ X1","Z_test_boot_y_x2.Y ~ X2","perc_ci_lb_boot_y_x1","perc_ci_ub_boot_y_x1","perc_ci_sgn_same_y_x1","sd_delta_y_x1","Z_test_delta_y_x1.Y ~ X1","sd_delta_y_x2","Z_test_delta_y_x2.Y ~ X2","Sim_run","simulation_run","n","c_estimate"
"result.99",0,0,-0.136845308567997,0.624177636754598,0.244058407699352,1,0,-0.549276263403153,0.391286276467849,0,0.120883406922149,1,0.0787177063218448,0,99,1,50,-0.105660845574072
"result.100",0,0,-0.120887203238387,0.467129618420345,0.271712475795962,1,0,-0.566320550284999,0.404140426440976,0,0.160940906104182,1,0.081998930370207,0,100,1,50,-0.017540944535193
"result.1",0,0,-0.147368016680166,0.431111263178663,0.152968490027491,1,0,-0.39400377345778,0.225126585974968,0,0.0944786147215452,1,0.078399684726584,0,1,1,100,-0.180040829241195
"result.2",0,0,0.0771332812357241,0.629659946621007,0.126332717859814,1,0,-0.201687503236019,0.27626338587929,0,0.0902097469465964,1,0.0556269797606536,0,2,1,100,0.113488303625254
"result.3",0,0,-0.0786846064414635,0.598474956068204,0.138476455402247,1,0,-0.292384364550986,0.218193272295159,0,0.0763165565237671,1,0.0624947780641357,0,3,1,100,-0.194422225287008
"result.4",0,0,-0.00470557068002646,0.557227043584874,0.153634025796444,1,0,-0.257183882627702,0.285401752097456,0,0.120048409132213,1,0.0727165427947289,0,4,1,100,-0.0691014652002639
"result.5",0,0,0.266042924830953,0.446214448968414,0.220349189648145,1,0,-0.352700986260005,0.458161777005114,0,0.0869403226956004,0,0.0703308197830085,0,5,1,100,0.127433189939809
"result.6",0,0,0.0944159916592053,0.61740390329176,0.171110972970874,1,0,-0.279290710836118,0.294009177215391,0,0.0985797117147004,1,0.0868295572080227,0,6,1,100,0.113805319620534
"result.7",0,0,-0.116741995728676,0.548390841102541,0.120787089187296,1,0,-0.310960568194765,0.204728265077377,0,0.0728015935937054,1,0.071514408683633,0,7,1,100,-0.0484552183585863
"result.8",0,0,0.11604664288265,0.570079017395472,0.185979821321758,1,0,-0.267290295148337,0.356027701753382,0,0.136227192546858,1,0.0678692633276797,0,8,1,100,0.0747549902690155
"result.9",0,0,-0.122027388851672,0.425588475873241,0.128409120409163,1,0,-0.392977677636465,0.186787482435838,0,0.119984997201243,1,0.0915503838402418,0,9,1,100,-0.0785394945145624
"result.10",0,0,0.103802367892143,0.615908195174884,0.165047802253727,1,0,-0.259333529018495,0.33032019904153,0,0.11649023171672,1,0.064520735280671,0,10,1,100,0.0421589736637194
"result.11",0,0,0.22211704865924,0.568927034922378,0.159166845194029,1,0,-0.309080328056765,0.384598090966093,0,0.0832275446429554,0,0.087955095318366,0,11,1,100,0.200203504107242
"result.12",0,0,0.119857608252558,0.492362963567799,0.209662930466706,1,0,-0.329572609334793,0.370903537440347,0,0.0958472194458749,1,0.0668436237992043,0,12,1,100,0.0902903995420749
"result.13",0,0,-0.173541770138314,0.481779683123991,0.139550329706858,1,0,-0.355833236077748,0.240404453855133,0,0.0638410208155148,0,0.072276852715278,0,13,1,100,-0.029029205699248
"result.14",0,0,-0.137282396355889,0.532089688599835,0.175442765791633,1,0,-0.37738967128306,0.279598524773141,0,0.101454473874275,1,0.0765567979873191,0,14,1,100,0.103901623662448
"result.15",0,0,-0.0959973623344814,0.467448916690599,0.192644810586089,1,0,-0.365997559553004,0.294349438863516,0,0.143768900788881,1,0.064790024543674,0,15,1,100,0.0497214232465197
"result.16",0,0,0.147851925708087,0.460425732102745,0.12047485291643,1,0,-0.141277587552861,0.386735716598718,0,0.106488558428555,1,0.0725108800961198,0,16,1,100,0.165190959923461
"result.17",0,0,-0.0833997897621693,0.644230288145113,0.140202695470338,1,0,-0.318080341815021,0.234242572463235,0,0.0983331685141255,1,0.0585366712260379,0,17,1,100,-0.0723607589344966
"result.18",0,0,0.0874913576841879,0.452323865958863,0.159421063344984,1,0,-0.262398818607223,0.291086767738501,0,0.0943065781329314,1,0.0647384395013964,0,18,1,100,-0.0552762202244164
